;;;;;
RUT CLIENTE;NOMBRE CLIENTE;NOMBRE OBRA;ID OBRA;CORREO CONTACTO;DIRECCION
77002380-7;SOC. CONST. E INMOBILIARIA TRIMETAL LTDA;ADICIONAL AMPL.Y REMODELACION COVEPA CASTRO;27898;adquisiciones2@trimetal.cl;GALVARINO RIVERO  571
78616630-6;CONSTRUCTORA LAS TERRAZAS S.A;ADICIONAL CASA BANDURRIA;23668;;RENATO SANCHEZ 4332
78616630-6;CONSTRUCTORA LAS TERRAZAS S.A;ADICIONAL CASA CODORNIZ;23658;;RENATO SANCHEZ 4332
78616630-6;CONSTRUCTORA LAS TERRAZAS S.A;ADICIONAL CASA IDAHUE;23660;;RENATO SANCHEZ 4332
89244600-8;SOC. CONSTRUCTORA LOS LAGOS;ADICIONAL CASA MIRADOR;25772;nelson.villarroel.m@hotmail.com;SERENA - SEGUNDO PISO 136
89244600-8;SOC. CONSTRUCTORA LOS LAGOS;ADICIONAL CASA MIRADOR II;25774;nelson.villarroel.m@hotmail.com;SERENA  136
6828465-1;FELIPE ALFONSO REITZE GARRETON;ADICIONAL CONDOMINIO LAS ENCINAS;26806;felipereitze@gmail.com;CAMINO COSTERO TOTORAL S/N
76107451-2;ABN CONSTRUCCION SOCIEDAD DE RESPONSABILIDAD LTDA.;ADICIONAL EDIFICIO MIRADOR;23797;;WALKER MARTINEZ 576
76525290-3;EBCOSUR S.A.;ADICIONAL FRIGORIFICO MEGAFRIO P.MONTT;27908;carlos.santana@ebcosur.cl;RUTA 5 SUR KM. 1025
8976413-0;LUIS ALBERTO SILVA CARVAJAL;ADICIONAL HOTEL GARCIA HURTADO DE MENDOZA;23690;;MANUEL RODRIGUEZ 1737
76343090-1;SOC. SERVIFORMEC LTDA;ADICIONAL OBRA OSORNO;23612;;DOM . ESTAMBURGO 1242
92770000-K;EMP. CONST. MOLLER Y PEREZ COTAPOS S.A;ADICIONAL PATAGONIA VIRGIN II ETAPA;23648;;AV. LOS LEONES 957
76068676-K;JAC PRODUCCIONES EIRL;ADICIONAL PICHILAGUNA;24161;;PARCELACION AIRES DEL SUR PARC. 65
76154943-K;COMERCIAL IMPROMETAL EIRL;ADICIONAL SKRETTING - OSORNO;24505;imprometal@gmail.com;CESAR BALVIANI 1794
76099692-0;BESALCO ARRIGONI LIMITADA.;AERODROMO BALMACEDA DGAC;28063;ivo.goles@arrigoni.cl;BALMACEDA S/N
83407700-0;NAVARRETE DIAZ CUMSILLE INGENIEROS LTDA.;AEROPUERTO CALAMA;22837;marcelo.cabello@nadic.cl;AEROPUERTO CALAMA S/N
76081836-4;ECOFAL LTDA;AIEP PUERTO MONTT;22019;nataliebvb@gmail.com;EJERCITO 220
76097734-9;CONSTRUCCIONES Y MONTAJES PATRICIO GARRETON LTDA.;ALFREDO GUERRERO - CHICUREO;22804;pgarreton.ch@gmail.com;HACIENDA CHICUREO sitio 372
99558680-0;CONSTRUCTORA SOCOVESA SANTIAGO S.A.;ALKURA CHICUREO;24307;jcidf@SOCOVESA.cl;JOSE RABAT 9960
76189216-9;CONSTRUCTORA ALCARRAZ LTDA;ALLWARE EDIFICIO CORPORATIVO;23346;;CALLE SEVILLA, LOTE 13, PARQUE INDUSTRIAL LAS ANIMAS S/N
76779980-2;Sociedad Constructora Francisco Lorca Ltda.;ALTA VISTA;24749;svalck@cfl.cl;CAMINO DE CINTURA 1409
96990200-1;Maestra construcciones s.a;ALTO LA PALOMA AMD;23638;;AV LAS CONDES 14157
76181618-7;SANGUINETTI & LATORRE CONSTRUCCIONES CIVILES LTDA.;ALTO LOS OLIVOS;24297;iacostaoli@yahoo.es;PATRICIO LYNCH 475
76044269-0;Acustica y Tecnologia Ltda;Alto Matanza;27881;alesouza34@hotmail.com;Alto Matanza /Sector Centinela S/N
76058936-5;CONSTRUCTORA LOS TRAPENSES S.A.;ALTO MONASTERIO - ESTACIONAMIENTO;22740;;CERRO DE LA CRUZ 10470
88777700-4;SOC. DE ING Y CONST. CASTELLANI Y MUnOZ S.A.;Alto Rancagua Edificio 5;22898;dmunoz@incm.cl;San Joaquin  239
76053198-7;Task Limitada;ALUSA;27889;germanvegaq@gmail.com;Pdte. Eduardo Frei Montalva  9160
78134800-7;EMPRESA CONSTRUCTORA GREVIA LTDA.;ALZAPRIMAS;22229;;AV. PORTALES 4040
86454800-8;CONSTRUCTORA QUEYLEN S.A.;AMD ALTOS DEL RACO;23815;;CAMILO HENRIQUEZ 1040
96675100-2;CONSTRUCTORA FUCHS.GELLONA Y SILVA S.A.;AMD BOSQUES DE LA PIRAMIDE;23776;csubercaseaux@fgs.cl;Camino Rinconada 875
9857610-K;FRANCISCO DOMINGUEZ VILLANUEVA;AMD CASA DOMINGUEZ;23553;francisco@dom.cl;Leon   3787 Casa A
76138911-4;SCOTTA CHILE S.A;AMD CENTRAL HIDROELECTRCA;24552;andronico.martinez@scotta.cl;RUTA T-85 KM69 S/N
76002884-3;AKERONCAF SERVICIOS INDUSTRIALES LTDA;AMD CORONEL - CC 894;23380;alex.hernadez@akeroncaf.cl;ARENAS BLANCAS  SN
86454800-8;CONSTRUCTORA QUEYLEN S.A.;AMD EDIFICIO EL CANTIL;24102;gducci@queylen.cl;Loteo Torobayo s/numero
99530790-1;TECNIA CONSTRUCCIONES S.A.;AMD EDIFICIO LATADIA;22502;;LATADIA 4343
86356400-k;CONSTRUCTORA ALMAGRO S.A.;AMD EDIFICIO LIQUIDAMBAR;23259;esepulveda@almagro.cl;LIQUIDAMBAR  626
76290063-7;CONSTRUCTORA HW LTDA.;AMD EDIFICIO LUCERNA;26821;abolomey@hwork.cl;MANUEL BULNES OF.202 150
76107451-2;ABN CONSTRUCCION SOCIEDAD DE RESPONSABILIDAD LTDA.;AMD EDIFICIO MIRADOR;27984;rurzua@abnconstruccion.cl;MIRADOR 46
86356400-k;CONSTRUCTORA ALMAGRO S.A.;AMD EDIFICIO PALQUI;23060;bodega_palqui@almagro.cl;SAN EUGENIO 840
76060625-1;Constructora VDZ Spa.;AMD Escala Parque Arauco;22833;azuniga@vdz.cl;Avenida  Presidente Kennedy  5413
77935890-9;ICON INGENIERIA Y CONSTRUCCION S.A.;AMD FALABELLA CASTRO;24104;VICTORG@ICON.CL;SERRANO 574
77935890-9;ICON INGENIERIA Y CONSTRUCCION S.A.;AMD FALABELLA PUERTO MONTT;23869;;av. Juan Soleir Manfredini 101
76079598-4;CONSORCIO HOSPITAL DE PUERTO MONTT S.A.;AMD HOSPITAL PUERTO MONTT;24741;pgalvez@moller.cl;AVENIDA TAJAMAR 183 PISO 5
76342047-7;Equipos para la construccion Maxiequip Ltda.;AMD La Dehesa;24256;nicolas@maxiequip.cl;Avda La Dehesa 1201
76599520-5;CONSTRUCTORA LNK SPA;AMD MALL PLAZA EGAÑA;23706;Elianafarias04@gmail.com;LARRAIN 5862
77380180-0;CONSTRUCTORA BAKER;AMD MOLINO MACHMAR;23361;ANER.EC@GMAIL.COM;AVDA. GRAMADOS 1100
76478810-9;MER INFRAESTRUCTURA CHILE SA;AMD MONOPOSTES - SANTIAGO;22181;;JORGE HIRMAS 2560
76478810-9;MER INFRAESTRUCTURA CHILE SA;AMD MONOPOSTES DE TELECOMUNICACIONES;22111;;S/N S/N
76107451-2;ABN CONSTRUCCION SOCIEDAD DE RESPONSABILIDAD LTDA.;AMD OFICINAS ABN;23766;RURZUA@ABNCONSTRUCCION.CL;ALPES 100
99586830-K;EURO CONSTRUCTORA;AMD PARQUE VIVACETA;22399;;EL MOLINO 1835
76410457-9;MARIO ANTONIO GONZALEZ BELTRAN INGENIERIA Y FABRICACION DE ESTRUCTURAS;Amd Reparacion Totem;24086;;Ruta 5 Cruce los Tambores s/n
96797660-1;INMOBILIARIA INVERSIONES ASESORIAS Y CONSTRUCCION INVASCO S.A.;AMD RESTAURACION TEATRO MUNICIPAL;23882;faelbo@invasco-sa.com;AGUSTINAS  794
96671230-9;Construcciones Especializadas Ltda;AMD SILO DE AGUA;23411;rcerda@rfa.cl;huemul 519
96990200-1;Maestra construcciones s.a;AMD STGO TORRE 2 ALTO LA PALOMA II Y III;23229;;volcan corcovado 5582
96990200-1;Maestra construcciones s.a;AMD STGO TORRE 3 ALTO LA PALOMA II Y III;23413;;VOLCAN CORCOVADO 5600
10898648-4;MARIO GONZALEZ B. INGENIERIA. MONTAJE INDUSTRIAL Y CONSTRUCCIONES;AMD TOTEM;23356;mariogonzalezbeltran@gmail.com;RUTA 5 KM 386 S/N
76108888-2;CONSTRUCTORA STARHOME LTDA.;AMD Viviendas condominio Puyai;24368;jmayol@starhome.cl;AVDA MARÍTIMA  567
76174024-5;CONSTRUCTORA COPAHUE;AMD VOLADO EDIFICIO SANTO DOMINGO;22882;;SANTO DOMINGO 1775
96990200-1;Maestra construcciones s.a;AMDTORRE 2 ALTO LA PALOMA II Y III;23626;;AV LAS CONDES 14157
76091988-8;GLOBAL CONSTRUCCIONES LTDA.;Amp. edif. evaporacion Nestle;24244;globaldecima@gmail.com;costanera Llanquihue s/n
12409796-7;Ximena Silva Agurto;AMPLIACION BODEGA MONTIJO;23954;proyectos@vtr.net;JOSE MANUEL INFANTE  8756
11703878-5;SALVADOR ENRIQUE COFRE BARRUEL;AMPLIACION CASA HABITACION;23618;r.rivas.uc@gmail.com;RELMU 3523
14437428-2;MAURICIO HUMBERTO SOTO REYES;Ampliacion Casa Habitacion;23551;msotoreyes@outlook.com;Condominio Los Arrayanes s/n
76057932-7;Ing. Civil y Const. Andres Pineda Ltda.;Ampliacion Cementerio Parque Santiago;22293;jcarvajal@icycap.cl;Avenida Rinconada El Salto 516, sector cuatro
76033630-0;ALTHA LTDA.;Ampliacion Colegio Elisa Del Valle;24113;rhernandez@altha.cl;Av. Chiloe 01152
76251315-3;INVERSIONES PUERTO VARAS LTDA;ampliacion colegio Germania;28059;lmontero@inversionesptovaras.cl;verbo divino s/n
76137730-2;Ingenieria y Const. German Gomez y Cia Ltda.;Ampliacion Colegio Pumahue Chicureo;23454;lcifuentes@ggl.cl;Santa Elena 215
79885340-6;CONSTRUCTORA GERARDO INFANTE Y CIA. LTDA.;AMPLIACION EDIFICIO MARIA LAURA;22795;macuna@altiplano.tie.cl;PEDRO VILLAGRA 2262
76061983-3;INGENIERIA Y PROYECTOS CONSTRUCOM LTDA.;AMPLIACION EDIFICIO SALA DE CONTROL RUTA MAIPO;24765;avasquez@construcom.cl;Calle Manuel Rodriguez 849
76210280-3;EMPRESA CONSTRUCTORA GHE;AMPLIACION EDIFICIO TEATINOS;23548;diegobustos@ghe,cl;TEATINOS 340
76078869-4;Construccion e Ingenieria Torrejon Ltda.;AMPLIACION ESCUELA BALNEARIO CACHAGUA;24662;j.cortes@citconstructora.cl;Parc. El Peuco Lote 1 - 1 A2, C. Inter. s/n
76373440-4;WET CHEMICAL CHILE S.A;AMPLIACION ESTACIONAMIENTO M. HITES;24119;castillo.paulo@gmail.com;CAMINO AGUA DEL PADRE 6942
76379391-5;SOCIEDAD RIO MAULLIN LIMITADA.;AMPLIACION ESTANQUE RILES;28065;plastratorres@gmail.com;CAMINO A CALBUCO KM - SECTOR LA CAMPANA 9
96935830-1;FRIGORIFICO MASCATO S.A;AMPLIACION FRIGORIFICO MASCATO;23914;destafanienzo@gmail.com;camino al Tepual Km. 9.8 s/n
80911900-9;INDUSTRIAL DE LIMACHE LTDA.;AMPLIACION FRIGORIFICO SAAM 5a.ETAPA;27993;leonardo.tala.japaz@gmail.com;RUTA 5 SUR CAMINO A PARGUA S/N
77781520-2;INDIGO LTDA;AMPLIACION GUILLERMO MORALES FROILAN ROA;22736;varas.construccion@gmail.com;EL CANELO ESQUINA FROILAN ROA S/N
85747000-1;ECHEVERRIA IZQUIERDO INGENIERIA Y CONSTRUCCION S.A.;AMPLIACIoN HOTEL HYATT;22103;eruiz@ei.cl;AVENIDA AMERICO VESPUCIO 1597
96528140-1;Constructora L y D S.A.;Ampliacion Inacap Tabancura;22919;carlos.carcamo@ldconstructora.cl;Los Dragones 1000 1000
76199786-6;Constructora German Mejias Correa HCC E.I.R.L.;Ampliacion Liceo CEIM;21919;parredondocorrea@gmail.com;Calle Cortez 175
88777700-4;SOC. DE ING Y CONST. CASTELLANI Y MUnOZ S.A.;AMPLIACION LICEO OSCAR CASTRO;21948;nromero@incm.cl;ALMARZA 410
77954130-4;Constructora e Inmobiliaria MPD Ltda.;AMPLIACIoN LIDER PIEDRA ROJA;22812;;PASEO COLINA SUR 14500
77812330-4;CONSTRUCTORA E INMOBILIARIA EMCOT LTDA.;Ampliacion Linea Produccion Planta N 7 Pizarreno;22600;b.valderrama2@gmail.com;Camino a Melipilla  10803
76177702-5;Fernando Ochagavia Servicio de Turismo EIRL;Ampliacion Los Condores;23216;fernando@ecoroutes.cl;Los Condores 1290
88213400-8;EMPRESA CONSTRUCTORA DESCO S.A;ampliacion losa clinica vespucio;22839;;vicuna mackena oriente 7110
13819764-6;LUIS DANIEL VASQUEZ VERA.;AMPLIACION OFICINAS SAESA;27950;construyelvasquez@gmail.com;BULNES N° 463
76109779-2;MELON S.A;AMPLIACION PLANTA MELON PUERTO MONTT;23622;;VITACURA 2939 PISO 12
96988100-4;INGENIERIA Y CONSTRUCCION PUERTO PRINCIPAL S.A;Ampliacion Red Agua POtable y Alcant. San Jose;24648;csoto@icpp.cl;San Jose de Maipo S/N
76110662-7;QUALITA LTDA.;AMPLIACION SALA ELECTRICA SAN JORGE;23049;dmarshall437@gmail.com;AMERICO VESPUCIO  2341
76051781-k;Christian M. Apablaza V. Ing. y Const. EIRL;AMPLIACION SUB ESTACION PUERTO VARAS;26864;cristian.wohlwend@sincotek.cl;AVENIDA GRAMADO S/N
76067823-6;INGENIERIA Y CONSTRUCCION RIO BAKER;AMPLIACION TORRES OCARANZA;22047;jjbonifazm@gmail.com;VISTA HERMOSA 9751
76202320-2;CONSTRUCTORA QUITRAHUE LTDA.;ANDAMIO - EDIFICIO ECHEnIQUE;22250;am@copahue.cl;ECHEnIQUE 5500
76470650-1;INGENIERIA Y CONSTRUCCION INGETEC Y CIA LTDA;ANDAMIO ASCENSOR;23118;;SEMINARIO 80
99541460-0;Termika Camval S.A.;ANDAMIO ESTANQUE CILINDRICO PARGUA;21993;marisoldiaz@camval.cl;PLANTA NUTRECO S/N
76584210-7;Mantenimiento de infrestructura Pixels SPA;ANDAMIO HOSPITAL FUTALEUFU;23624;;DIAGONAL ORIENTE 1755
76591160-5;MINERA FLORIDA LTDA;ANDAMIO LOOP DE BOMBEO;22076;cesar.salazar@yamana.com;CAMINO EL ASIENTO SIN NUMERO
96990200-1;Maestra construcciones s.a;ANDAMIOS ALTO LA PALOMA II;23628;;AV LAS CONDES 14157
76290063-7;CONSTRUCTORA HW LTDA.;ANDAMIOS ESPACIO LUGANO;23676;;MANUEL BULNES 150 OF 202
76375265-8;PERFILES Y TUBOS DE ACERO ALMARZA S.A.;Andamios Fachada;24084;eduardo@almarza.cl;Carlos Valdovinos 161
76091988-8;GLOBAL CONSTRUCCIONES LTDA.;ANDAMIOS MULTIDIRECCIONALES;23788;david.rojas@cl.nestle.com;FRANCISCO DEL CAMPO S/N
7062429-k;JAIME CONTRERAS VILLABLANCA;ANDAMIOS TRADICIONALES;22438;;ELEUTERIO RAMIREZ 9572
76375265-8;PERFILES Y TUBOS DE ACERO ALMARZA S.A.;Andamios Tradicionales;24082;eduardo@almarza.cl;Carlos Valdovinos 161
77385940-k;Constructora e inmobiliaria Raab Ltda.;Andamios Vivienda Castillo;23397;;Parcela Nº29, altos de Llanquihue S/N
76119788-6;Constructora D y V Corp. Ltda.;Andamios Walker Martinez;21794;cristian.encina@constructoradv.cl;Walker Martinez 288
9405044-8;Ricardo Enrique Fernandez Catalan;Andromaco;21851;;Avda. Quilin / Vespucio s/n
78715990-7;CONSTRUCTORA TRICAM LTDA.;ANTILHUE;22366;mgc@sur-oeste.cl;Antilhue  6669
96844020-9;DELTA Y&V INGENIERIA Y CONSTRUCCION S.A;AP nunoa Comercial IPB;23012;aortiz@delta.cl;IRARRAZAVAL ESQUINA PEDRO DE VALDIVIA
76107346-K;INGENIERIA Y CONSULTORIA LTDA.;APART HOTEL WINE BOX;24272;jaimevasquezleon@gmail.com;baquedano, cerro mariposas 763
76396458-2;INMOBILIARIA GRANT WILLIAM PHELPS E.I.R.L;APART HOTEL WINE BOX;24285;jaimevasquezleon@gmail.com;BAQUEDANO, CERRO MARIPOSAS 763
76443280-0;CONSTRUCTORA EXCON S.A.;APR CHAMPULLI;27931;gnunez@excon.cl;ERNESTO RIQUELME 166
76124952-5;EQUIMAQ S.A.;Apuntalamiento Galpon Hook;24336;hamancilla@gmail.com;Ruta 5 sur Km 1011 S/N
77341080-1;CONTRUCCIONES Y APLICACIONES CONTRACTAL LTDA;Apuntalamiento Puente Maipo;22007;omercado@contractal.cl;Puente Maipo s/n
77341080-1;CONTRUCCIONES Y APLICACIONES CONTRACTAL LTDA;Apuntalamiento Puente Maipo II;22334;omercado@contractal.cl;El Barrancon 8845
77745670-9;SOLUCIONES DIGITALES LIMITADA;AQUAGESTION;26825;ximena.novoa@aquagestion.cl;RUTA 5 PARGUA KM. 7.5
76120261-8;constructora arayanais ltda;archivo hospital el pino;24328;andres.gallardo@gmail.com;camino padre hurtado 13560
76244967-6;LEONARDO BENITO ARAVENA YAÑEZ TALLER DE DISEÑO EIRL;ARMADO DE ESCENOGRAFIAS;23751;aravena.leo@gmail.com;esmeralda 973
76192773-6;IMPORTADORA Y EXPORTADORA ERFOLG LTDA;ARRIENDO ACCESORIOS MOLDAJE DE OBRA;24258;marcelo@erfolg.cl;MAPOCHO 2380
13075002-8;VICTOR GALLARDO ENSEMEYER;Atlas Copco Chilena S.A.C.I.;22045;frcubillos@ingenieroconstructor.cl;Panamericana Norte 5001
78705420-K;CENTROSUR CONST-INMOB E INVER.;BANCO ESTADO EL MONTE;21978;;ALONSO DE OVALLE 738
77343410-7;SOCRATES TOFALOS Y CIA. LTDA.;Banco Estado Rancagua;21955;alexis.tejo@gmail.com;Astorga  16
56020310-1;Comunidad de copropietarios Vega Central;Banos Vega Central;22370;comvega@mercadovegacentral.cl;Anonia Lopez de Bello 743
76125173-2;CONSTRUCTORA GAMMA LTDA.;Barlovento;24249;mjinostroza@fergasa.cl;Camino a Coronel (Interior)  7381
78407860-4;INMOBILIARIA LA VInA LIMITADA;BARRIO LOS APOSTOLES DE CERRILLOS;22117;atrincado@cosalco.cl;SAN IGNACIO  274
84394000-5;Constructora Inca Ltda.;BARRIO ORIENTE V ETAPA;23280;gonzalo.monsalve@empresasinca.cl;AVENIDA VICUnA MACKENNA 2035
76098095-1;Constructora Millenium;Barrio Parque Santiago;23725;alejandro.gutierrez@senexco.cl;Los Gladiolos 4795
76940560-7;SENCORP CONSTRUCCION S.A.;BARRIO PARQUE SANTIAGO;23946;alejandro.gutierrez@edifikasa.cl;LOS GLADIOLOS 4795
79578400-4;Constructora Armas Ltda.;BARROS BORGOÑO;24630;falvarez@empresasarmas.cl;BARROS BORGOÑO 96
76342047-7;Equipos para la construccion Maxiequip Ltda.;Bash;24220;nicolas@maxiequip.cl;Nueva Costanera  4067
76342047-7;Equipos para la construccion Maxiequip Ltda.;Bash 2;24483;NICOLAS@MAXIEQUIP.CL;Nueva Costanera  4067
76145762-4;COMERCIAL M Y V LTDA.;BEDEGA OUTLET;24289;ventas@outletptovaras.cl;RUTA 5 SUR KM. 1011
76019648-7;CONSTRUCTORA COSTA SOL LTDA.;BELLOTO;22141;adecaso@constructoracostasol.cl;EL ALBA S/N
76371362-8;CONSTRUCTORA PATRICIO HERNAN GODOY MOYA EIRL;Berman 586 san miguel;23773;patricio.constructor@gmail.com;Berman  586
76111101-9;PECSA CHILE S.A.;Biblioteca Municipal de Colina;22480;mrojas@pecsachile.cl;pedro aguirre cerda 7
76190792-1;FULL SERVICE SERVICIOS INDUSTRIALES LUCIA ANTONIETA VALDES RIVERA E.I.R.L;BIOFILTRO - NOVOFISCH;24441;francisco.ottey@gmail.com;RUTA V-835 CAMINO A SAN AGUSTIN HUELMO KM. 28
76002884-3;AKERONCAF SERVICIOS INDUSTRIALES LTDA;BOCAMINA II (CC837);22727;ilabrana@hormail.com;ARENAS BLANCAS S/N
77002380-7;SOC. CONST. E INMOBILIARIA TRIMETAL LTDA;BOD. MULTICANCHA LA UNION;24202;cramirez@trimetal.cl;ARTURO PRAT  369
77002380-7;SOC. CONST. E INMOBILIARIA TRIMETAL LTDA;BODEGA AMP.COVEPA CASTRO;24165;;AVENIDA GALVARINO RIVEROS  571
76046551-8;INGENIERIA Y CONSTRUCCION ERRAZURIZ LTDA.;BODEGA EL OLIVO;22581;jarozas@errazurizltda.cl;CAMINO EL OLIVO S/N
10196098-6;PATRICIO ENRIQUE HERNANDEZ OLIVA;BODEGA FASHION TRANSPORT;23518;patricio@riobakeringenieria.cl;Av. El Parque Isidora 904
76055248-8;CONSTRUCCIONES MGD E.I.R.L.;Bodega Lizcal;22559;constructoramgd@vtr.net;Los Vientos Sitios 17 al 24 17 al 24
78740780-3;LIZCAL S.A;bodega lizcal;23936;;camino la vara 03700
76474252-4;ENCOFRADOS Y MAQUINARIAS SpA;BODEGA MATRIZ;24722;contacto@moldajesyandamios.cl;BRAVO LUCO 1227
76078481-8;CONST. E INM. II JAIME ARANCIBIA TAGLE Y CIA. LTDA.;BODEGA PUNTA ARENAS;23077;jarancibiat@conatructorajat.cl;MANUEL AGUILAR 011075
76055248-8;CONSTRUCCIONES MGD E.I.R.L.;Bodega Tres Marias;22561;constructoramgd@vtr.net;Los Vientos, sitios 17 al 24 17 al 24
78740780-3;LIZCAL S.A;BODEGA TRES MARIAS;23934;;LOS VIENTOS 17
76020185-5;COMERCIAL ARRATIA SPA;Bodega y Oficinas Arratia;24233;alkar@casasisotermicas.cl;Loteo Industrial los Volcanes, parcela 4G s/n
76174838-6;Transportes Venko Ltda.;Bodegas Anasac Requinoa;22847;deptotecnico@grupoatlante.cl;Ruta H-490 s/n
12409796-7;Ximena Silva Agurto;Bodegas Dom SA Renca;22445;;Jose Miguel Infante 8756
76258598-7;Constructora Campos de Chile SPA;Bodegas Loginsa;23616;a.alvarez@campos-chile.cl;Jose Miguel Infante 8725
77189110-1;SERVICIOS DE ALMACENAJE DANCO LTDA.;BODEGAS MIRAFLORES V;22744;;LO BOZA 300
51038320-6;Gonzalez Valencia Luis y Otra;Bodegas Siegwerk;23172;l.gvalencia@lgv.cl;AV. PEDRO  JORQUERA  156
79719960-5;ELIAS MAZU Y CIA. LTDA.;BODEGAS Y OFICINAS;22534;;JUAREZ LARGA 717
96675100-2;CONSTRUCTORA FUCHS.GELLONA Y SILVA S.A.;BOSQUES DE LA PIRAMIDE;23273;hnunez@fgs.cl;RINCONADA EL SALTO 879
76248050-6;Inversiones y Construcciones Tierras del Sur Ltda.;BOULEVARD MALL PLAZA TOBALABA;23708;lherrera@ctierrasdelsur.cl;Av. Camilo Henríquez  3296
78209190-5;CONSTRUCTORA EL TAMARUGO LTDA;BOULEVARD ORIENTE - VENTAS;24743;ppena@bravoizquierdo.cl;pedro de valdivia 193
96557050-0;DOMUS S.A.;BRISAS DE KENNEDY;22942;jquintana@maestra.cl;PINTOR CABELLO 986
76099692-0;BESALCO ARRIGONI LIMITADA.;BY PASS CASTRO;27969;osvaldo.guzman@besalco.cl;CAMINO LA CHACRA S/N
76411655-0;LF MERINO V CPRA.VTA.BIENES MUEBLES  E.I.R.L.;C.C.A.F LOS HEROES;24056;info@tinascalientes.cl;DEL SALVADOR s/n
76008811-0;INGEKALT;CABALLERIZAS HURTADO;22338;;LOS LIRIOS SN
77867780-6;TECNOSUR INGENIERIA LTDA.;CAFE DOKERS;21942;tomaspablo@gmail.com;MONSEnOR ESCRIBA DE BALAGUER 5600
76101005-0;ABACO INGENIERIA Y CONSTRUCCIONES LIMITADA;CAJA ASCENSOR CESFAM EDUARDO AHUES;21888;rnunez@constructoraabaco.cl;INDEPENDENCIA 2200
78030120-1;CONSTRUCTORA ALTIUS S.A;CAJA COMPENSACION LOS ANDES - VIÑA DEL MAR;24343;isoriano@altius.cl;viana 609
78030120-1;CONSTRUCTORA ALTIUS S.A;CAJA COMPENSACION LOS ANDES - VIÑA DEL MAR - DOM;26829;;viana 609
76022955-5;Constructora Tocal Ltda.;Caja de Compensación La Araucana, Linares;24322;jzapata@tocal.cl;Avenida O´higgins 447
76091340-5;Ingenieria y Construccion Muñoz y Salazar Ltda.;CAJON TUNEL 1;24475;scc.ito@gmail.com;CAMINO LLONCAO-LOS TUNELES S/N
14730230-4;JUAN CARLOS PORRAS CASTILLO;Caldera Biomasa Castro;26847;rbastidasescarate@gmail.com;Ruta Castro-Dalcahue Sector Putemun S/N
77312730-1;Constructora Andreu Ltda.;Camara decantadora urbanizacion Huechuraba;21816;cperez@andreu.cl/moliva@andreu.cl;Guanaco norte con Santa Rosa s/n
